model,Accuracy,ROC_AUC,Logloss,Precision,Recall,f1
Catboost baseline Holdout,0.9303903035694427,0.9773121476380168,0.1530955830581783,0.8898353208404316,0.7838919459729865,0.8335106382978723
LightGBM baseline Holdout,0.932947848326476,0.9785039073726168,0.1494013193738859,0.9034682080924856,0.7818909454727364,0.8382944489139179
LightGBM best_params optuna Holdout,0.9213832981207606,0.9698969802316084,0.17702882009406656,0.8813459268004723,0.7468734367183592,0.8085567289466559
LightGBM best_params RS Holdout,0.9342822195040588,0.9799194707448092,0.1447687173636047,0.9069364161849711,0.7848924462231116,0.8415124698310539
Catboost RS Holdout,0.9391749138218615,0.9806013243968282,0.14208244421153773,0.9028856825749167,0.8139069534767384,0.8560905024993423
